time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2019-01-05T00:00:00.000Z","LatLng(34.75, 136.700001)","49.66","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-01-12T00:00:00.000Z","LatLng(34.75, 136.700001)","-21.78","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-01-19T00:00:00.000Z","LatLng(34.75, 136.700001)","-42.93","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-01-26T00:00:00.000Z","LatLng(34.75, 136.700001)","73","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-02-02T00:00:00.000Z","LatLng(34.75, 136.700001)","67.48","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-02-09T00:00:00.000Z","LatLng(34.75, 136.700001)","-0.02","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-02-23T00:00:00.000Z","LatLng(34.75, 136.700001)","-27.92","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-03-02T00:00:00.000Z","LatLng(34.75, 136.700001)","47.92","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-03-09T00:00:00.000Z","LatLng(34.75, 136.700001)","19.73","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-03-16T00:00:00.000Z","LatLng(34.75, 136.700001)","40.13","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-03-23T00:00:00.000Z","LatLng(34.75, 136.700001)","-21.69","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-03-30T00:00:00.000Z","LatLng(34.75, 136.700001)","-32.93","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-04-06T00:00:00.000Z","LatLng(34.75, 136.700001)","-55.32","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-04-13T00:00:00.000Z","LatLng(34.75, 136.700001)","-59.4","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-04-20T00:00:00.000Z","LatLng(34.75, 136.700001)","-24.74","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-04-27T00:00:00.000Z","LatLng(34.75, 136.700001)","-59.89","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-05-04T00:00:00.000Z","LatLng(34.75, 136.700001)","-24.35","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-05-11T00:00:00.000Z","LatLng(34.75, 136.700001)","-53.88","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-05-18T00:00:00.000Z","LatLng(34.75, 136.700001)","-57.15","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-05-25T00:00:00.000Z","LatLng(34.75, 136.700001)","-13.15","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-06-08T00:00:00.000Z","LatLng(34.75, 136.700001)","-59.77","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-06-22T00:00:00.000Z","LatLng(34.75, 136.700001)","-42.56","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-06-29T00:00:00.000Z","LatLng(34.75, 136.700001)","-47.22","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-07-27T00:00:00.000Z","LatLng(34.75, 136.700001)","134.45","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-08-03T00:00:00.000Z","LatLng(34.75, 136.700001)","-12.8","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-08-10T00:00:00.000Z","LatLng(34.75, 136.700001)","-43.56","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-08-17T00:00:00.000Z","LatLng(34.75, 136.700001)","378.11","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-08-24T00:00:00.000Z","LatLng(34.75, 136.700001)","150.37","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-08-31T00:00:00.000Z","LatLng(34.75, 136.700001)","416.46","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-09-07T00:00:00.000Z","LatLng(34.75, 136.700001)","-43.08","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-09-14T00:00:00.000Z","LatLng(34.75, 136.700001)","-55.52","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
