time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2019-01-05T00:00:00.000Z","LatLng(34.55, 135.150001)","-8.32","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-01-12T00:00:00.000Z","LatLng(34.55, 135.150001)","-22.94","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-01-19T00:00:00.000Z","LatLng(34.55, 135.150001)","-17.14","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-02-02T00:00:00.000Z","LatLng(34.55, 135.150001)","-27.06","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-02-09T00:00:00.000Z","LatLng(34.55, 135.150001)","-17.19","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-02-16T00:00:00.000Z","LatLng(34.55, 135.150001)","-34.23","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-02-23T00:00:00.000Z","LatLng(34.55, 135.150001)","-6.17","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-03-02T00:00:00.000Z","LatLng(34.55, 135.150001)","-45.18","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-03-09T00:00:00.000Z","LatLng(34.55, 135.150001)","-17.02","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-03-16T00:00:00.000Z","LatLng(34.55, 135.150001)","-25.23","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-03-23T00:00:00.000Z","LatLng(34.55, 135.150001)","20.5","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-03-30T00:00:00.000Z","LatLng(34.55, 135.150001)","-31.9","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-04-06T00:00:00.000Z","LatLng(34.55, 135.150001)","-36.11","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-04-20T00:00:00.000Z","LatLng(34.55, 135.150001)","57.81","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-04-27T00:00:00.000Z","LatLng(34.55, 135.150001)","-46.92","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-05-04T00:00:00.000Z","LatLng(34.55, 135.150001)","-0.38","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-05-11T00:00:00.000Z","LatLng(34.55, 135.150001)","-32.94","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-05-18T00:00:00.000Z","LatLng(34.55, 135.150001)","-30.53","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-05-25T00:00:00.000Z","LatLng(34.55, 135.150001)","1.73","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-06-01T00:00:00.000Z","LatLng(34.55, 135.150001)","-10.93","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-06-08T00:00:00.000Z","LatLng(34.55, 135.150001)","-23.33","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-06-22T00:00:00.000Z","LatLng(34.55, 135.150001)","4.57","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-07-06T00:00:00.000Z","LatLng(34.55, 135.150001)","-22.44","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-07-20T00:00:00.000Z","LatLng(34.55, 135.150001)","-39.76","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-07-27T00:00:00.000Z","LatLng(34.55, 135.150001)","4.26","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-08-03T00:00:00.000Z","LatLng(34.55, 135.150001)","-9.12","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-08-10T00:00:00.000Z","LatLng(34.55, 135.150001)","-37.16","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-08-17T00:00:00.000Z","LatLng(34.55, 135.150001)","-21.94","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-08-24T00:00:00.000Z","LatLng(34.55, 135.150001)","-41.79","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-09-07T00:00:00.000Z","LatLng(34.55, 135.150001)","-42.67","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-09-14T00:00:00.000Z","LatLng(34.55, 135.150001)","-42.79","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-09-28T00:00:00.000Z","LatLng(34.55, 135.150001)","-18.02","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-10-05T00:00:00.000Z","LatLng(34.55, 135.150001)","-25.42","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-10-12T00:00:00.000Z","LatLng(34.55, 135.150001)","-47.12","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-10-19T00:00:00.000Z","LatLng(34.55, 135.150001)","2.99","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-10-26T00:00:00.000Z","LatLng(34.55, 135.150001)","2.08","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-11-02T00:00:00.000Z","LatLng(34.55, 135.150001)","-24.86","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-11-09T00:00:00.000Z","LatLng(34.55, 135.150001)","-43.34","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-11-16T00:00:00.000Z","LatLng(34.55, 135.150001)","-9.9","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-11-23T00:00:00.000Z","LatLng(34.55, 135.150001)","-18.97","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-11-30T00:00:00.000Z","LatLng(34.55, 135.150001)","-21.82","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-12-07T00:00:00.000Z","LatLng(34.55, 135.150001)","-45.6","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-12-14T00:00:00.000Z","LatLng(34.55, 135.150001)","-14.09","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-12-21T00:00:00.000Z","LatLng(34.55, 135.150001)","-4.35","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-12-28T00:00:00.000Z","LatLng(34.55, 135.150001)","-22.97","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-01-04T00:00:00.000Z","LatLng(34.55, 135.150001)","-15.25","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-01-11T00:00:00.000Z","LatLng(34.55, 135.150001)","-42.84","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-01-18T00:00:00.000Z","LatLng(34.55, 135.150001)","136.08","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-02-01T00:00:00.000Z","LatLng(34.55, 135.150001)","-22.72","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-02-08T00:00:00.000Z","LatLng(34.55, 135.150001)","104.98","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-02-15T00:00:00.000Z","LatLng(34.55, 135.150001)","49.43","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-02-22T00:00:00.000Z","LatLng(34.55, 135.150001)","-29.3","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
