time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2019-01-05T00:00:00.000Z","LatLng(35.55, 139.9)","17.62","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-01-12T00:00:00.000Z","LatLng(35.55, 139.9)","-17.19","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-01-19T00:00:00.000Z","LatLng(35.55, 139.9)","69.9","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-01-26T00:00:00.000Z","LatLng(35.55, 139.9)","115.04","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-02-02T00:00:00.000Z","LatLng(35.55, 139.9)","37.2","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-02-16T00:00:00.000Z","LatLng(35.55, 139.9)","27.23","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-03-02T00:00:00.000Z","LatLng(35.55, 139.9)","-31.24","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-03-09T00:00:00.000Z","LatLng(35.55, 139.9)","-42.14","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-03-16T00:00:00.000Z","LatLng(35.55, 139.9)","-10.36","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-03-23T00:00:00.000Z","LatLng(35.55, 139.9)","11.47","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-03-30T00:00:00.000Z","LatLng(35.55, 139.9)","-45.83","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-04-06T00:00:00.000Z","LatLng(35.55, 139.9)","-11.33","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-04-13T00:00:00.000Z","LatLng(35.55, 139.9)","-11.77","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-05-11T00:00:00.000Z","LatLng(35.55, 139.9)","41.44","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-05-18T00:00:00.000Z","LatLng(35.55, 139.9)","32.16","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-05-25T00:00:00.000Z","LatLng(35.55, 139.9)","95.58","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-06-01T00:00:00.000Z","LatLng(35.55, 139.9)","-31.9","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-06-15T00:00:00.000Z","LatLng(35.55, 139.9)","24.83","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-06-22T00:00:00.000Z","LatLng(35.55, 139.9)","-1.56","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-07-27T00:00:00.000Z","LatLng(35.55, 139.9)","-82.99","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-08-03T00:00:00.000Z","LatLng(35.55, 139.9)","125.89","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-08-10T00:00:00.000Z","LatLng(35.55, 139.9)","-23.77","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-08-17T00:00:00.000Z","LatLng(35.55, 139.9)","-7.44","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-08-24T00:00:00.000Z","LatLng(35.55, 139.9)","12.63","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-08-31T00:00:00.000Z","LatLng(35.55, 139.9)","-51.45","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-09-07T00:00:00.000Z","LatLng(35.55, 139.9)","105.93","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-09-14T00:00:00.000Z","LatLng(35.55, 139.9)","-55.35","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-09-28T00:00:00.000Z","LatLng(35.55, 139.9)","49.79","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-10-05T00:00:00.000Z","LatLng(35.55, 139.9)","-63.22","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-10-12T00:00:00.000Z","LatLng(35.55, 139.9)","16.6","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-10-26T00:00:00.000Z","LatLng(35.55, 139.9)","-15.33","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-11-02T00:00:00.000Z","LatLng(35.55, 139.9)","-8.03","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-11-09T00:00:00.000Z","LatLng(35.55, 139.9)","265.03","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-11-16T00:00:00.000Z","LatLng(35.55, 139.9)","-43.63","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-11-23T00:00:00.000Z","LatLng(35.55, 139.9)","-31.81","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-11-30T00:00:00.000Z","LatLng(35.55, 139.9)","-29.28","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-12-14T00:00:00.000Z","LatLng(35.55, 139.9)","-41.94","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-12-21T00:00:00.000Z","LatLng(35.55, 139.9)","-31.32","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-12-28T00:00:00.000Z","LatLng(35.55, 139.9)","-67.57","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-01-04T00:00:00.000Z","LatLng(35.55, 139.9)","-28.2","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-01-11T00:00:00.000Z","LatLng(35.55, 139.9)","-59.8","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-01-18T00:00:00.000Z","LatLng(35.55, 139.9)","-57.37","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-02-01T00:00:00.000Z","LatLng(35.55, 139.9)","-46.31","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-02-08T00:00:00.000Z","LatLng(35.55, 139.9)","21.82","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-02-22T00:00:00.000Z","LatLng(35.55, 139.9)","-30.45","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-02-29T00:00:00.000Z","LatLng(35.55, 139.9)","103.08","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-03-07T00:00:00.000Z","LatLng(35.55, 139.9)","95.59","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-03-21T00:00:00.000Z","LatLng(35.55, 139.9)","29.02","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
