location,date,new_cases,tokyo_increase_color,italy_increase_color
United States,2020-01-23,0,orange,orange
United States,2020-01-24,1,orange,orange
United States,2020-01-25,0,orange,orange
United States,2020-01-26,3,orange,orange
United States,2020-01-27,0,orange,orange
United States,2020-01-28,0,orange,orange
United States,2020-01-29,1,orange,orange
United States,2020-01-30,0,orange,orange
United States,2020-01-31,2,orange,orange
United States,2020-02-01,0,orange,orange
United States,2020-02-02,0,orange,orange
United States,2020-02-03,3,orange,orange
United States,2020-02-04,0,orange,orange
United States,2020-02-05,0,orange,orange
United States,2020-02-06,1,orange,orange
United States,2020-02-07,0,orange,orange
United States,2020-02-08,0,orange,orange
United States,2020-02-09,0,orange,orange
United States,2020-02-10,0,orange,orange
United States,2020-02-11,1,orange,orange
United States,2020-02-12,0,orange,orange
United States,2020-02-13,1,orange,orange
United States,2020-02-14,0,orange,orange
United States,2020-02-15,0,orange,orange
United States,2020-02-16,0,orange,orange
United States,2020-02-17,0,orange,orange
United States,2020-02-18,0,orange,orange
United States,2020-02-19,0,orange,orange
United States,2020-02-20,0,orange,orange
United States,2020-02-21,2,orange,orange
United States,2020-02-22,0,orange,orange
United States,2020-02-23,0,orange,orange
United States,2020-02-24,0,orange,orange
United States,2020-02-25,0,orange,orange
United States,2020-02-26,0,orange,orange
United States,2020-02-27,1,orange,orange
United States,2020-02-28,0,orange,orange
United States,2020-02-29,8,orange,orange
United States,2020-03-01,7,orange,orange
United States,2020-03-02,23,orange,orange
United States,2020-03-03,19,orange,orange
United States,2020-03-04,33,orange,orange
United States,2020-03-05,77,orange,orange
United States,2020-03-06,53,orange,orange
United States,2020-03-07,166,orange,orange
United States,2020-03-08,116,orange,orange
United States,2020-03-09,75,orange,orange
United States,2020-03-10,188,orange,orange
United States,2020-03-11,365,orange,orange
United States,2020-03-12,439,orange,orange
United States,2020-03-13,633,orange,orange
United States,2020-03-14,759,orange,orange
United States,2020-03-15,234,orange,orange
United States,2020-03-16,1467,orange,orange
United States,2020-03-17,1833,orange,orange
United States,2020-03-18,2657,orange,orange
United States,2020-03-19,4494,orange,orange
United States,2020-03-20,6367,orange,orange
United States,2020-03-21,5995,orange,orange
United States,2020-03-22,8873,orange,orange
United States,2020-03-23,11238,orange,orange
United States,2020-03-24,10619,orange,orange
United States,2020-03-25,12082,orange,orange
United States,2020-03-26,17856,orange,orange
United States,2020-03-27,18690,orange,orange
United States,2020-03-28,19630,orange,orange
United States,2020-03-29,18899,orange,orange
United States,2020-03-30,22075,orange,orange
United States,2020-03-31,26314,orange,orange
United States,2020-04-01,32286,orange,orange
United States,2020-04-02,32222,orange,orange
United States,2020-04-03,32307,orange,orange
United States,2020-04-04,32386,orange,orange
United States,2020-04-05,29895,orange,orange
United States,2020-04-06,31390,orange,orange
United States,2020-04-07,30779,orange,orange
United States,2020-04-08,31235,orange,orange
United States,2020-04-09,35942,orange,orange
United States,2020-04-10,34403,orange,orange
United States,2020-04-11,29083,orange,orange
United States,2020-04-12,27256,orange,orange
United States,2020-04-13,26939,orange,orange
United States,2020-04-14,28818,orange,orange
United States,2020-04-15,25408,orange,orange
United States,2020-04-16,30002,orange,orange
United States,2020-04-17,33066,orange,orange
United States,2020-04-18,27907,orange,orange
United States,2020-04-19,26062,orange,orange
United States,2020-04-20,29820,orange,orange
United States,2020-04-21,25926,orange,orange
United States,2020-04-22,28911,orange,orange
United States,2020-04-23,33612,orange,orange
United States,2020-04-24,32327,orange,orange
United States,2020-04-25,30380,orange,orange
United States,2020-04-26,26488,orange,orange
United States,2020-04-27,23715,orange,orange
United States,2020-04-28,24575,orange,orange
United States,2020-04-29,26459,orange,orange
United States,2020-04-30,29205,orange,orange
United States,2020-05-01,34907,orange,orange
United States,2020-05-02,27348,orange,orange
United States,2020-05-03,24321,orange,orange
United States,2020-05-04,24068,orange,orange
United States,2020-05-05,24528,orange,orange
United States,2020-05-06,24569,orange,orange
United States,2020-05-07,27429,orange,orange
United States,2020-05-08,26830,orange,orange
United States,2020-05-09,25176,orange,orange
United States,2020-05-10,18805,orange,orange
United States,2020-05-11,19298,orange,orange
United States,2020-05-12,22927,orange,orange
United States,2020-05-13,20433,orange,orange
United States,2020-05-14,26817,orange,orange
United States,2020-05-15,24733,orange,orange
United States,2020-05-16,24135,orange,orange
United States,2020-05-17,18388,orange,orange
United States,2020-05-18,22389,orange,orange
United States,2020-05-19,20979,orange,orange
United States,2020-05-20,22725,orange,orange
United States,2020-05-21,25769,orange,orange
United States,2020-05-22,23649,orange,orange
United States,2020-05-23,21099,orange,orange
United States,2020-05-24,20077,orange,orange
United States,2020-05-25,18662,orange,orange
United States,2020-05-26,19663,orange,orange
United States,2020-05-27,18551,orange,orange
United States,2020-05-28,22320,orange,orange
United States,2020-05-29,24478,orange,orange
United States,2020-05-30,23632,orange,orange
United States,2020-05-31,18983,orange,orange
United States,2020-06-01,17414,orange,orange
United States,2020-06-02,21502,orange,orange
United States,2020-06-03,19857,orange,orange
United States,2020-06-04,21658,orange,orange
United States,2020-06-05,25403,orange,orange
United States,2020-06-06,21142,orange,orange
United States,2020-06-07,17928,orange,orange
United States,2020-06-08,17616,orange,orange
United States,2020-06-09,18383,orange,orange
United States,2020-06-10,21111,orange,orange
United States,2020-06-11,23166,orange,orange
United States,2020-06-12,24828,orange,orange
United States,2020-06-13,25212,orange,orange
United States,2020-06-14,18941,orange,orange
United States,2020-06-15,19827,orange,orange
United States,2020-06-16,23667,orange,orange
United States,2020-06-17,27072,orange,orange
United States,2020-06-18,28537,orange,orange
United States,2020-06-19,31544,orange,orange
United States,2020-06-20,32280,orange,orange
United States,2020-06-21,25150,orange,orange
United States,2020-06-22,32144,orange,orange
United States,2020-06-23,37072,orange,orange
United States,2020-06-24,35878,orange,orange
United States,2020-06-25,40326,orange,orange
United States,2020-06-26,45999,orange,orange
United States,2020-06-27,41330,orange,orange
United States,2020-06-28,40734,orange,orange
United States,2020-06-29,41299,orange,orange
United States,2020-06-30,46420,orange,orange
United States,2020-07-01,51820,orange,orange
United States,2020-07-02,56636,orange,orange
United States,2020-07-03,51351,orange,orange
United States,2020-07-04,45693,orange,orange
United States,2020-07-05,50747,orange,orange
United States,2020-07-06,43106,orange,orange
United States,2020-07-07,60661,orange,orange
United States,2020-07-08,60119,orange,orange
United States,2020-07-09,62509,orange,orange
United States,2020-07-10,68057,orange,orange
United States,2020-07-11,60017,orange,orange
United States,2020-07-12,58424,orange,orange
United States,2020-07-13,58930,orange,orange
United States,2020-07-14,68051,orange,orange
United States,2020-07-15,68090,orange,orange
United States,2020-07-16,75866,orange,orange
United States,2020-07-17,72236,orange,orange
United States,2020-07-18,62536,orange,orange
United States,2020-07-19,60456,orange,orange
United States,2020-07-20,62107,orange,orange
United States,2020-07-21,64461,orange,orange
United States,2020-07-22,70579,orange,orange
United States,2020-07-23,68445,orange,orange
United States,2020-07-24,73319,orange,orange
United States,2020-07-25,64953,orange,orange
United States,2020-07-26,54816,orange,orange
United States,2020-07-27,56783,orange,orange
United States,2020-07-28,66412,orange,orange
United States,2020-07-29,71873,orange,orange
United States,2020-07-30,67466,orange,orange
United States,2020-07-31,68712,orange,orange
United States,2020-08-01,56201,orange,orange
United States,2020-08-02,45568,orange,orange
United States,2020-08-03,45501,orange,orange
United States,2020-08-04,58774,orange,orange
United States,2020-08-05,54466,orange,orange
United States,2020-08-06,59349,orange,orange
United States,2020-08-07,59303,orange,orange
United States,2020-08-08,54134,orange,orange
United States,2020-08-09,45769,orange,orange
United States,2020-08-10,47606,orange,orange
United States,2020-08-11,48003,orange,orange
United States,2020-08-12,56040,orange,orange
United States,2020-08-13,51316,orange,orange
United States,2020-08-14,65336,orange,orange
United States,2020-08-15,46951,orange,orange
United States,2020-08-16,39212,orange,orange
United States,2020-08-17,36652,orange,orange
United States,2020-08-18,45033,orange,orange
United States,2020-08-19,47320,orange,orange
United States,2020-08-20,44041,orange,orange
United States,2020-08-21,48843,orange,orange
United States,2020-08-22,43064,orange,orange
United States,2020-08-23,34247,orange,orange
United States,2020-08-24,36482,orange,orange
United States,2020-08-25,40354,orange,orange
United States,2020-08-26,45172,orange,orange
United States,2020-08-27,45393,orange,orange
United States,2020-08-28,46832,orange,orange
