time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2019-11-27T00:00:00.000Z","LatLng(35.08, 136.88)","0.86","/","Invalid DateTime","JAXA","ALOS-2","BLUE","industry"
"2020-01-03T00:00:00.000Z","LatLng(35.08, 136.88)","0.66","/","Invalid DateTime","JAXA","Sentinel-1","BLUE","industry"
"2020-01-27T00:00:00.000Z","LatLng(35.08, 136.88)","0.74","/","Invalid DateTime","JAXA","Sentinel-1","BLUE","industry"
"2020-01-31T00:00:00.000Z","LatLng(35.08, 136.88)","0.72","/","Invalid DateTime","JAXA","ALOS-2","BLUE","industry"
"2020-02-08T00:00:00.000Z","LatLng(35.08, 136.88)","0.96","/","Invalid DateTime","JAXA","Sentinel-1","BLUE","industry"
"2020-02-20T00:00:00.000Z","LatLng(35.08, 136.88)","1.02","/","Invalid DateTime","JAXA","Sentinel-1","BLUE","industry"
"2020-03-01T00:00:00.000Z","LatLng(35.08, 136.88)","0.79","/","Invalid DateTime","JAXA","ALOS-2","BLUE","industry"
"2020-03-03T00:00:00.000Z","LatLng(35.08, 136.88)","1","/","Invalid DateTime","JAXA","Sentinel-1","BLUE","industry"
"2020-03-04T00:00:00.000Z","LatLng(35.08, 136.88)","1","/","Invalid DateTime","JAXA","ALOS-2","BLUE","industry"
"2020-03-15T00:00:00.000Z","LatLng(35.08, 136.88)","0.8","/","Invalid DateTime","JAXA","Sentinel-1","BLUE","industry"
"2020-03-27T00:00:00.000Z","LatLng(35.08, 136.88)","1.04","/","Invalid DateTime","JAXA","Sentinel-1","BLUE","industry"
"2020-04-20T00:00:00.000Z","LatLng(35.08, 136.88)","0.8","/","Invalid DateTime","JAXA","Sentinel-1","BLUE","industry"
"2020-05-02T00:00:00.000Z","LatLng(35.08, 136.88)","0.77","/","Invalid DateTime","JAXA","Sentinel-1","BLUE","industry"
"2020-05-08T00:00:00.000Z","LatLng(35.08, 136.88)","0.77","/","Invalid DateTime","JAXA","ALOS-2","BLUE","industry"
"2020-05-14T00:00:00.000Z","LatLng(35.08, 136.88)","0.74","/","Invalid DateTime","JAXA","Sentinel-1","BLUE","industry"
"2020-05-26T00:00:00.000Z","LatLng(35.08, 136.88)","0.66","/","Invalid DateTime","JAXA","Sentinel-1","BLUE","industry"
"2020-06-01T00:00:00.000Z","LatLng(35.08, 136.88)","0.66","/","Invalid DateTime","JAXA","Sentinel-1","BLUE","industry"
"2020-06-07T00:00:00.000Z","LatLng(35.08, 136.88)","0.71","/","Invalid DateTime","JAXA","ALOS-2","BLUE","industry"
"2020-06-10T00:00:00.000Z","LatLng(35.08, 136.88)","1.01","/","Invalid DateTime","JAXA","ALOS-2","BLUE","industry"
"2020-06-13T00:00:00.000Z","LatLng(35.08, 136.88)","0.69","/","Invalid DateTime","JAXA","Sentinel-1","BLUE","industry"
"2020-06-24T00:00:00.000Z","LatLng(35.08, 136.88)","0.96","/","Invalid DateTime","JAXA","ALOS-2","BLUE","industry"
"2020-07-01T00:00:00.000Z","LatLng(35.08, 136.88)","0.9","/","Invalid DateTime","JAXA","Sentinel-1","BLUE","industry"
"2020-07-25T00:00:00.000Z","LatLng(35.08, 136.88)","0.76","/","Invalid DateTime","JAXA","Sentinel-1","BLUE","industry"
"2020-08-08T00:00:00.000Z","LatLng(35.08, 136.88)","0.82","/","Invalid DateTime","JAXA","Sentinel-1","BLUE","industry"
"2020-08-16T00:00:00.000Z","LatLng(35.08, 136.88)","0.76","/","Invalid DateTime","JAXA","ALOS-2","BLUE","industry"
"2020-10-07T00:00:00.000Z","LatLng(35.08, 136.88)","1.11","/","Invalid DateTime","JAXA","ALOS-2","BLUE","industry"
"2020-11-08T00:00:00.000Z","LatLng(35.08, 136.88)","0.99","/","Invalid DateTime","JAXA","ALOS-2","BLUE","industry"
"2020-11-27T00:00:00.000Z","LatLng(35.08, 136.88)","1.25","/","Invalid DateTime","JAXA","ALOS-2","BLUE","industry"
"2021-01-29T00:00:00.000Z","LatLng(35.08, 136.88)","0.8","/","Invalid DateTime","JAXA","ALOS-2","BLUE","industry"
"2021-02-28T00:00:00.000Z","LatLng(35.08, 136.88)","0.76","/","Invalid DateTime","JAXA","ALOS-2","BLUE","industry"
"2021-03-03T00:00:00.000Z","LatLng(35.08, 136.88)","0.82","/","Invalid DateTime","JAXA","ALOS-2","BLUE","industry"
"2021-05-07T00:00:00.000Z","LatLng(35.08, 136.88)","0.61","/","Invalid DateTime","JAXA","ALOS-2","BLUE","industry"
