time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2019-01-05T00:00:00.000Z","LatLng(35.55, 139.900001)","64.45","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-01-12T00:00:00.000Z","LatLng(35.55, 139.900001)","46.71","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-01-19T00:00:00.000Z","LatLng(35.55, 139.900001)","31.07","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-01-26T00:00:00.000Z","LatLng(35.55, 139.900001)","18.51","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-02-02T00:00:00.000Z","LatLng(35.55, 139.900001)","-10.04","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-02-16T00:00:00.000Z","LatLng(35.55, 139.900001)","47.9","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-03-02T00:00:00.000Z","LatLng(35.55, 139.900001)","-45.53","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-03-09T00:00:00.000Z","LatLng(35.55, 139.900001)","-7.24","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-03-16T00:00:00.000Z","LatLng(35.55, 139.900001)","-37.29","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-03-23T00:00:00.000Z","LatLng(35.55, 139.900001)","-33.68","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-03-30T00:00:00.000Z","LatLng(35.55, 139.900001)","-30.36","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-04-06T00:00:00.000Z","LatLng(35.55, 139.900001)","-23.47","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
