time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2018-05-07T00:00:00.000Z","LatLng(35.61, 139.78)","102.09719","/","2018-05-07T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-05-21T00:00:00.000Z","LatLng(35.61, 139.78)","136.08232","/","2018-05-21T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-06-04T00:00:00.000Z","LatLng(35.61, 139.78)","132.16722","/","2018-06-04T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-06-18T00:00:00.000Z","LatLng(35.61, 139.78)","96.9326","/","2018-06-18T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-07-02T00:00:00.000Z","LatLng(35.61, 139.78)","80.907555","/","2018-07-02T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-07-16T00:00:00.000Z","LatLng(35.61, 139.78)","95.620346","/","2018-07-16T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-07-30T00:00:00.000Z","LatLng(35.61, 139.78)","119.53381","/","2018-07-30T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-08-13T00:00:00.000Z","LatLng(35.61, 139.78)","74.550125","/","2018-08-13T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-08-27T00:00:00.000Z","LatLng(35.61, 139.78)","78.541855","/","2018-08-27T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-09-10T00:00:00.000Z","LatLng(35.61, 139.78)","124.85701","/","2018-09-10T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-09-24T00:00:00.000Z","LatLng(35.61, 139.78)","137.57675","/","2018-09-24T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-10-08T00:00:00.000Z","LatLng(35.61, 139.78)","104.15093","/","2018-10-08T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-10-22T00:00:00.000Z","LatLng(35.61, 139.78)","190.3814","/","2018-10-22T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-11-05T00:00:00.000Z","LatLng(35.61, 139.78)","151.10802","/","2018-11-05T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-11-19T00:00:00.000Z","LatLng(35.61, 139.78)","204.11613","/","2018-11-19T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-12-03T00:00:00.000Z","LatLng(35.61, 139.78)","159.85423","/","2018-12-03T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-12-17T00:00:00.000Z","LatLng(35.61, 139.78)","187.37038","/","2018-12-17T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-12-31T00:00:00.000Z","LatLng(35.61, 139.78)","131.47865","/","2018-12-31T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-01-14T00:00:00.000Z","LatLng(35.61, 139.78)","152.65822","/","2019-01-14T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-01-28T00:00:00.000Z","LatLng(35.61, 139.78)","165.69893","/","2019-01-28T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-02-11T00:00:00.000Z","LatLng(35.61, 139.78)","166.04207","/","2019-02-11T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-02-25T00:00:00.000Z","LatLng(35.61, 139.78)","155.28894","/","2019-02-25T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-03-11T00:00:00.000Z","LatLng(35.61, 139.78)","199.51395","/","2019-03-11T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
